# Monte Carlo Study Summary

## Noise level σ = 0.0

p_value @ 0.064 0.0
significant @ 0.064 true
likelihood_of_improvement @ 0.064 100.0%

## Noise level σ = 0.066

average_improvement @ 0.066 15.5402
average_percentage_improvement @ 0.066 24.4698
baseline_std @ 0.066 21.2372
new_std @ 0.066 26.6816
p_value @ 0.066 8.0e-6
significant @ 0.066 true
likelihood_of_improvement @ 0.066 100.0%

## Noise level σ = 0.068

average_improvement @ 0.068 21.6405
average_percentage_improvement @ 0.068 32.3353
baseline_std @ 0.068 21.2182
new_std @ 0.068 28.2301
p_value @ 0.068 0.0
significant @ 0.068 true
likelihood_of_improvement @ 0.068 100.0%

## Noise level σ = 0.07

average_improvement @ 0.07 27.0769
average_percentage_improvement @ 0.07 37.2272
baseline_std @ 0.07 45.7809
new_std @ 0.07 21.78
p_value @ 0.07 0.0
significant @ 0.07 true
likelihood_of_improvement @ 0.07 100.0%

## Noise level σ = 0.07200000000000001

average_improvement @ 0.07200000000000001 21.615
average_percentage_improvement @ 0.07200000000000001 31.6238
baseline_std @ 0.07200000000000001 34.2389
new_std @ 0.07200000000000001 22.0077
p_value @ 0.07200000000000001 1.0e-6
significant @ 0.07200000000000001 true
likelihood_of_improvement @ 0.07200000000000001 100.0%

## Noise level σ = 0.074

average_improvement @ 0.074 28.727
average_percentage_improvement @ 0.074 39.3056
baseline_std @ 0.074 56.6957
new_std @ 0.074 21.3519
p_value @ 0.074 1.0e-6
significant @ 0.074 true
likelihood_of_improvement @ 0.074 100.0%

## Noise level σ = 0.076

average_improvement @ 0.076 23.8197
average_percentage_improvement @ 0.076 34.4915
baseline_std @ 0.076 29.7781
new_std @ 0.076 32.4227
p_value @ 0.076 0.0
significant @ 0.076 true
likelihood_of_improvement @ 0.076 100.0%

## Noise level σ = 0.078

average_improvement @ 0.078 15.9013
average_percentage_improvement @ 0.078 24.1394
baseline_std @ 0.078 20.9698
new_std @ 0.078 28.9962
p_value @ 0.078 1.0e-6
significant @ 0.078 true
likelihood_of_improvement @ 0.078 100.0%

## Noise level σ = 0.08

average_improvement @ 0.08 17.5951
average_percentage_improvement @ 0.08 25.1129
baseline_std @ 0.08 34.0734
new_std @ 0.08 23.1205
p_value @ 0.08 2.6e-5
significant @ 0.08 true
likelihood_of_improvement @ 0.08 100.0%

## Noise level σ = 0.082

average_improvement @ 0.082 23.6509
average_percentage_improvement @ 0.082 31.6211
baseline_std @ 0.082 68.9721
new_std @ 0.082 81.8571
p_value @ 0.082 0.016466
significant @ 0.082 true
likelihood_of_improvement @ 0.082 98.35%

## Noise level σ = 0.084

average_improvement @ 0.084 32.158
average_percentage_improvement @ 0.084 41.5264
baseline_std @ 0.084 51.9323
new_std @ 0.084 20.8383
p_value @ 0.084 0.0
significant @ 0.084 true
likelihood_of_improvement @ 0.084 100.0%

## Noise level σ = 0.08600000000000001

average_improvement @ 0.08600000000000001 34.0963
average_percentage_improvement @ 0.08600000000000001 43.1755
baseline_std @ 0.08600000000000001 100.0017
new_std @ 0.08600000000000001 19.5018
p_value @ 0.08600000000000001 0.000365
significant @ 0.08600000000000001 true
likelihood_of_improvement @ 0.08600000000000001 99.96%

## Noise level σ = 0.088

average_improvement @ 0.088 12.7143
average_percentage_improvement @ 0.088 19.6344
baseline_std @ 0.088 29.4164
new_std @ 0.088 38.9485
p_value @ 0.088 0.002539
significant @ 0.088 true
likelihood_of_improvement @ 0.088 99.75%

## Noise level σ = 0.09

average_improvement @ 0.09 22.0734
average_percentage_improvement @ 0.09 31.3551
baseline_std @ 0.09 29.5726
new_std @ 0.09 24.7911
p_value @ 0.09 0.0
significant @ 0.09 true
likelihood_of_improvement @ 0.09 100.0%

## Noise level σ = 0.092

average_improvement @ 0.092 19.8746
average_percentage_improvement @ 0.092 28.6607
baseline_std @ 0.092 39.4834
new_std @ 0.092 37.4322
p_value @ 0.092 0.000178
significant @ 0.092 true
likelihood_of_improvement @ 0.092 99.98%

## Noise level σ = 0.094

average_improvement @ 0.094 29.2935
average_percentage_improvement @ 0.094 40.6001
baseline_std @ 0.094 40.3913
new_std @ 0.094 20.947
p_value @ 0.094 0.0
significant @ 0.094 true
likelihood_of_improvement @ 0.094 100.0%

## Noise level σ = 0.096

average_improvement @ 0.096 22.2774
average_percentage_improvement @ 0.096 32.7322
baseline_std @ 0.096 42.564
new_std @ 0.096 22.4601
p_value @ 0.096 5.0e-6
significant @ 0.096 true
likelihood_of_improvement @ 0.096 100.0%

## Noise level σ = 0.098

average_improvement @ 0.098 30.0396
average_percentage_improvement @ 0.098 36.9411
baseline_std @ 0.098 111.2136
new_std @ 0.098 27.4047
p_value @ 0.098 0.005029
significant @ 0.098 true
likelihood_of_improvement @ 0.098 99.5%

## Noise level σ = 0.1

average_improvement @ 0.1 21.8772
average_percentage_improvement @ 0.1 30.3209
baseline_std @ 0.1 84.6252
new_std @ 0.1 26.6124
p_value @ 0.1 0.005167
significant @ 0.1 true
likelihood_of_improvement @ 0.1 99.48%

