# Monte Carlo Study Summary

## Noise level σ = 0.0

likelihood_of_improvement @ 0.24 92.46%

## Noise level σ = 0.26

average_improvement @ 0.26 23.78
average_percentage_improvement @ 0.26 24.7205
baseline_std @ 0.26 132.9114
new_std @ 0.26 112.2358
p_value @ 0.26 0.238694
significant @ 0.26 false
likelihood_of_improvement @ 0.26 76.13%

## Noise level σ = 0.28

average_improvement @ 0.28 36.4955
average_percentage_improvement @ 0.28 41.1903
baseline_std @ 0.28 49.6242
new_std @ 0.28 18.8471
p_value @ 0.28 7.3e-5
significant @ 0.28 true
likelihood_of_improvement @ 0.28 99.99%

## Noise level σ = 0.3

average_improvement @ 0.3 32.4592
average_percentage_improvement @ 0.3 37.3067
baseline_std @ 0.3 45.4015
new_std @ 0.3 30.2686
p_value @ 0.3 0.001292
significant @ 0.3 true
likelihood_of_improvement @ 0.3 99.87%

## Noise level σ = 0.32

average_improvement @ 0.32 23.9959
average_percentage_improvement @ 0.32 33.0705
baseline_std @ 0.32 20.835
new_std @ 0.32 22.6141
p_value @ 0.32 9.5e-5
significant @ 0.32 true
likelihood_of_improvement @ 0.32 99.99%

## Noise level σ = 0.34

average_improvement @ 0.34 16.5704
average_percentage_improvement @ 0.34 23.734
baseline_std @ 0.34 17.0248
new_std @ 0.34 21.8053
p_value @ 0.34 0.000684
significant @ 0.34 true
likelihood_of_improvement @ 0.34 99.93%

## Noise level σ = 0.36

average_improvement @ 0.36 16.2864
average_percentage_improvement @ 0.36 21.803
baseline_std @ 0.36 18.9482
new_std @ 0.36 26.323
p_value @ 0.36 0.004466
significant @ 0.36 true
likelihood_of_improvement @ 0.36 99.55%

## Noise level σ = 0.38

average_improvement @ 0.38 19.2571
average_percentage_improvement @ 0.38 25.7249
baseline_std @ 0.38 26.5537
new_std @ 0.38 49.1744
p_value @ 0.38 0.036977
significant @ 0.38 true
likelihood_of_improvement @ 0.38 96.3%

## Noise level σ = 0.4

average_improvement @ 0.4 16.8046
average_percentage_improvement @ 0.4 21.6097
baseline_std @ 0.4 20.4202
new_std @ 0.4 48.6334
p_value @ 0.4 0.036491
significant @ 0.4 true
likelihood_of_improvement @ 0.4 96.35%

## Noise level σ = 0.42

average_improvement @ 0.42 30.536
average_percentage_improvement @ 0.42 39.4702
baseline_std @ 0.42 22.7881
new_std @ 0.42 20.3466
p_value @ 0.42 2.0e-6
significant @ 0.42 true
likelihood_of_improvement @ 0.42 100.0%

## Noise level σ = 0.44

average_improvement @ 0.44 20.7618
average_percentage_improvement @ 0.44 24.3965
baseline_std @ 0.44 49.2889
new_std @ 0.44 30.8096
p_value @ 0.44 0.017652
significant @ 0.44 true
likelihood_of_improvement @ 0.44 98.23%

## Noise level σ = 0.46

average_improvement @ 0.46 4.0476
average_percentage_improvement @ 0.46 4.9051
baseline_std @ 0.46 19.2877
new_std @ 0.46 102.2724
p_value @ 0.46 0.418206
significant @ 0.46 false
likelihood_of_improvement @ 0.46 58.18%

## Noise level σ = 0.48

average_improvement @ 0.48 14.0542
average_percentage_improvement @ 0.48 19.5722
baseline_std @ 0.48 20.2355
new_std @ 0.48 42.4283
p_value @ 0.48 0.057027
significant @ 0.48 false
likelihood_of_improvement @ 0.48 94.3%

## Noise level σ = 0.5

average_improvement @ 0.5 24.3688
average_percentage_improvement @ 0.5 34.512
baseline_std @ 0.5 23.1168
new_std @ 0.5 20.6232
p_value @ 0.5 7.5e-5
significant @ 0.5 true
likelihood_of_improvement @ 0.5 99.99%

